city_id,Team,City,Stadium,Capacity,Latt,Long
0,FC Porto,Porto,Estadio do Dragao,50033,41.161621,-8.583784
1,SL Benfica ,Lisbon,Estadio da Luz,64642,38.752089,-9.185006
3,SC Braga,Braga,Estadio Municipal de Braga,30286,41.562686,-8.429818
