city,lat,lng,country,capital,population
Valença,42.0282,-8.6339,Portugal,minor,14127.0
Gouveia,40.5,-7.6,Portugal,minor,14046.0
Nelas,40.5167,-7.85,Portugal,minor,14037.0
Gafanha da Nazaré,40.6333,-8.7167,Portugal,,14021.0
Arruda dos Vinhos,38.9833,-9.0667,Portugal,minor,13391.0
Ribeira Brava,32.6722,-17.0639,Portugal,,13375.0
Vila Pouca de Aguiar,41.4833,-7.6333,Portugal,minor,13187.0
Ansião,39.9167,-8.4333,Portugal,minor,13128.0
Miranda do Corvo,40.1,-8.3333,Portugal,minor,13098.0
Alcácer do Sal,38.3725,-8.5133,Portugal,minor,13046.0
Vieira do Minho,41.6333,-8.1333,Portugal,minor,12997.0
Mira,40.4285,-8.7363,Portugal,minor,12465.0
Sátão,40.7333,-7.7167,Portugal,minor,12444.0
Arcozelo,41.0555,-8.6395,Portugal,,12393.0
Sever do Vouga,40.7167,-8.3667,Portugal,minor,12356.0
Tábua,40.3667,-8.0333,Portugal,minor,12071.0
Alijó,41.2764,-7.4749,Portugal,minor,11942.0
Vendas Novas,38.6833,-8.45,Portugal,minor,11846.0
Costa de Caparica,38.6446,-9.2356,Portugal,,11707.0
Óbidos,39.3585,-9.176,Portugal,minor,11689.0
Calheta,32.7333,-17.1667,Portugal,,11521.0
Resende,41.1,-7.95,Portugal,minor,11364.0
Vila Franca do Campo,37.7167,-25.4333,Portugal,,11229.0
Reguengos de Monsaraz,38.4167,-7.5333,Portugal,minor,10828.0
Valadares,41.0997,-8.6403,Portugal,,10678.0
São Brás de Alportel,37.15,-7.8833,Portugal,minor,10662.0
Murtosa,40.7369,-8.6386,Portugal,minor,10585.0
Moimenta da Beira,40.9819,-7.6158,Portugal,minor,10212.0
Sobral de Monte Agraço,39.0167,-9.15,Portugal,minor,10156.0
Trancoso,40.7833,-7.35,Portugal,minor,9878.0
Carregal do Sal,40.4333,-8.0,Portugal,,9835.0
Idanha-a-Nova,39.9167,-7.2333,Portugal,minor,9716.0
Pinhel,40.7833,-7.0667,Portugal,minor,9627.0
Melgaço,42.1167,-8.2667,Portugal,minor,9213.0
Vinhais,41.8167,-7.0,Portugal,minor,9066.0
Almargem,38.8475,-9.2714,Portugal,,8983.0
Aver-o-Mar,41.4039,-8.769,Portugal,,8961.0
Ponta do Sol,32.6811,-17.1042,Portugal,,8862.0
Ferreira do Zêzere,39.7,-8.2833,Portugal,minor,8619.0
Torre de Moncorvo,41.2,-7.1333,Portugal,minor,8572.0
Campo Maior,39.0167,-7.0667,Portugal,minor,8456.0
Argoncilhe,41.0167,-8.55,Portugal,,8420.0
Vila Viçosa,38.75,-7.4333,Portugal,minor,8319.0
Proença-a-Nova,39.75,-7.9167,Portugal,minor,8314.0
Tarouca,41.0167,-7.7833,Portugal,minor,8048.0
Penalva do Castelo,40.6667,-7.6833,Portugal,minor,7956.0
São João da Pesqueira,41.1333,-7.4,Portugal,minor,7874.0
Santana,32.8,-16.8667,Portugal,,7719.0
Alpiarça,39.2593,-8.585,Portugal,minor,7702.0
Celorico da Beira,40.6333,-7.4,Portugal,minor,7693.0
Joane,41.4333,-8.4167,Portugal,,7528.0
Mondim de Basto,41.4,-7.95,Portugal,minor,7493.0
