city,lat,lng,country,capital,population,log_airport,lat_airport,source_airport
Lajes,38.4,-28.25,Portugal,,4711.0,-9.1354,38.7756,Humberto Delgado Airport
Vimioso,41.5667,-6.5167,Portugal,minor,4669.0,-9.1354,38.7756,Humberto Delgado Airport
Avis,39.05,-7.8833,Portugal,minor,4571.0,-9.1354,38.7756,Humberto Delgado Airport
Mesão Frio,41.1667,-7.8833,Portugal,minor,4433.0,-9.1354,38.7756,Humberto Delgado Airport
Valpaços,41.6075,-7.31,Portugal,minor,4421.0,-9.1354,38.7756,Humberto Delgado Airport
Santa Cruz da Graciosa,39.0833,-28.0167,Portugal,,4391.0,-9.1354,38.7756,Humberto Delgado Airport
Góis,40.15,-8.1167,Portugal,minor,4260.0,-9.1354,38.7756,Humberto Delgado Airport
Vila Nova de Milfontes,37.7167,-8.7833,Portugal,,4258.0,-9.1354,38.7756,Humberto Delgado Airport
Constância,39.4833,-8.3333,Portugal,minor,4056.0,-9.1354,38.7756,Humberto Delgado Airport
Sardoal,39.5333,-8.1667,Portugal,minor,3939.0,-9.1354,38.7756,Humberto Delgado Airport
Arcozelo,41.7917,-8.5944,Portugal,,3932.0,-9.1354,38.7756,Humberto Delgado Airport
Lorvão,40.2594,-8.3168,Portugal,,3928.0,-9.1354,38.7756,Humberto Delgado Airport
Pedrógão Grande,39.9167,-8.15,Portugal,minor,3915.0,-9.1354,38.7756,Humberto Delgado Airport
Freixo de Espada à Cinta,41.0833,-6.8,Portugal,minor,3780.0,-9.1354,38.7756,Humberto Delgado Airport
Calheta,38.6,-28.0167,Portugal,,3773.0,-9.1354,38.7756,Humberto Delgado Airport
Armação de Pêra,37.1,-8.3667,Portugal,,3770.0,-9.1354,38.7756,Humberto Delgado Airport
Vila Velha de Ródão,39.65,-7.6667,Portugal,minor,3521.0,-9.1354,38.7756,Humberto Delgado Airport
Marvão,39.3942,-7.3772,Portugal,minor,3512.0,-9.1354,38.7756,Humberto Delgado Airport
Canas de Senhorim,40.5167,-7.9,Portugal,,3509.0,-9.1354,38.7756,Humberto Delgado Airport
Tramagal,39.4583,-8.2461,Portugal,,3500.0,-9.1354,38.7756,Humberto Delgado Airport
Vila de Rei,39.6833,-8.15,Portugal,minor,3452.0,-9.1354,38.7756,Humberto Delgado Airport
Manteigas,40.4,-7.5333,Portugal,minor,3430.0,-9.1354,38.7756,Humberto Delgado Airport
Riba de Ave,41.3933,-8.3883,Portugal,,3425.0,-9.1354,38.7756,Humberto Delgado Airport
Fronteira,39.05,-7.65,Portugal,minor,3410.0,-9.1354,38.7756,Humberto Delgado Airport
Castelo de Vide,39.4167,-7.45,Portugal,minor,3407.0,-9.1354,38.7756,Humberto Delgado Airport
São Roque do Pico,38.5167,-28.3167,Portugal,,3388.0,-9.1354,38.7756,Humberto Delgado Airport
Monforte,39.05,-7.4333,Portugal,minor,3329.0,-9.1354,38.7756,Humberto Delgado Airport
Valado de Frades,39.5892,-9.0194,Portugal,,3308.0,-9.1354,38.7756,Humberto Delgado Airport
Fermentelos,40.5667,-8.5167,Portugal,,3258.0,-9.1354,38.7756,Humberto Delgado Airport
Castanheira de Pêra,40.0,-8.2167,Portugal,minor,3191.0,-9.1354,38.7756,Humberto Delgado Airport
Arronches,39.1167,-7.2833,Portugal,minor,3165.0,-9.1354,38.7756,Humberto Delgado Airport
São Vicente,32.7967,-17.0433,Portugal,,3136.0,-9.1354,38.7756,Humberto Delgado Airport
Trouxemil,40.2756,-8.4528,Portugal,,2999.0,-9.1354,38.7756,Humberto Delgado Airport
Ferreiros,41.6308,-8.3686,Portugal,,2879.0,-9.1354,38.7756,Humberto Delgado Airport
Trofa,40.6114,-8.4673,Portugal,,2732.0,-9.1354,38.7756,Humberto Delgado Airport
Carvoeiro,37.1,-8.4667,Portugal,,2721.0,-9.1354,38.7756,Humberto Delgado Airport
Mourão,38.3333,-7.3667,Portugal,minor,2663.0,-9.1354,38.7756,Humberto Delgado Airport
Alvito,38.25,-7.9833,Portugal,minor,2504.0,-9.1354,38.7756,Humberto Delgado Airport
Barrancos,38.1307,-6.9761,Portugal,minor,1834.0,-9.1354,38.7756,Humberto Delgado Airport
Caminha,41.8779,-8.8382,Portugal,minor,1346.0,-9.1354,38.7756,Humberto Delgado Airport
Boticas,41.6889,-7.665,Portugal,minor,1065.0,-9.1354,38.7756,Humberto Delgado Airport
Barcelos,41.5347,-8.615,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Loures,38.8309,-9.1684,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Santo Tirso,41.3428,-8.4775,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Famalicão,41.4144,-8.5222,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Cartaxo,39.1619,-8.7864,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Fundão,40.1392,-7.5019,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Oliveira de Azemeis,40.84,-8.4764,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Ovar,40.8597,-8.6253,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Lagoa,37.1347,-8.4528,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Albufeira,37.0889,-8.2511,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Águeda,40.5745,-8.448,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Peniche,39.3633,-9.3792,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Borba,38.8056,-7.4547,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Marinha Grande,39.7478,-8.9322,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Salvaterra de Magos,39.0253,-8.7933,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Barreiro,38.6631,-9.0725,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Cascais,38.6972,-9.4217,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Ponte da Barca,41.8078,-8.4194,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Amarante,41.2728,-8.0825,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Aljustrel,37.8775,-8.1653,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Alcobaça,39.5522,-8.9775,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
Oliveira do Hospital,40.3597,-7.8617,Portugal,minor,,-9.1354,38.7756,Humberto Delgado Airport
